"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g220" 22944 8524 11841 4324 6032 35489 30866 6900 38482 38951
"g221" 27 87 50 45 23 22 73 36 101 58
"g222" 153 4107 130 3533 3960 2518 1927 3900 8334 696
"g223" 261 781 392 501 241 325 983 370 863 105
"g224" 8119 6277 7730 5409 3717 12568 18311 17884 16052 11126
"g225" 6 47 19 9 42 37 115 164 81 126
"g226" 19551 22297 37290 14610 19403 43069 19937 33117 32287 31022
"g227" 343 1284 1372 720 1307 1298 762 568 2340 1981
"g228" 750 898 803 243 572 764 713 772 609 694
"g229" 8293 12929 11725 5820 11227 14191 18608 16653 13570 11121
"g230" 4819 5921 6590 3705 5966 7365 10036 6587 7656 7223
"g231" 1045 1859 2449 1522 821 3530 2237 5564 5715 5286
"g232" 151 107 431 253 189 658 759 305 1221 172
"g233" 7354 9901 14735 6270 7740 16525 23020 20278 24072 20524
"g234" 354 285 70 65 286 75 505 29 95 133
"g235" 66 10 96 165 438 156 1082 71 159 38
"g236" 9588 15132 12497 8085 7185 12913 18461 22142 16108 16155
"g237" 3001 1519 4905 2599 2824 3701 6936 2006 7399 2579
"g238" 28 2341 2026 778 1979 161 113 0 704 16
"g239" 2101 602 419 1244 1043 4194 7432 8087 2908 3560
"g240" 353 61 1023 59 19 121 34 7 0 67
"g241" 7874 7126 6779 3778 6912 14807 23234 14373 16216 19047
"g242" 1194 1470 465 454 1084 1393 1638 1288 2029 3464
"g243" 18 21 59 15 0 4 27 10 96 8
"g244" 14242 19231 27649 22163 7882 14745 31633 40295 52936 22016
"g245" 106 28 94 18 54 52 160 66 13 29
"g246" 19 92 26 76 99 69 168 24 47 100
"g247" 3586 1762 2360 2037 2959 2766 3164 2569 5230 2940
"g248" 80 157 521 124 175 253 683 405 351 611
"g249" 3200 2047 5872 2471 4120 7309 9718 5044 14502 4237
"g250" 25304 17305 25333 9981 16440 18150 23156 24740 23896 17302
"g251" 255 172 363 138 201 124 265 210 408 128
"g252" 4080 2383 3987 4107 3502 7739 5439 6482 7716 9477
"g253" 481 903 1331 359 378 2177 898 199 377 1
"g254" 103 110 54 59 82 46 231 238 156 170
"g255" 317 311 379 322 130 185 670 614 765 680
"g256" 147 178 59 37 27 287 660 136 620 494
"g257" 10791 22570 11489 24699 13642 17339 42461 34388 67171 54433
"g258" 42 4566 816 9514 2378 196 32517 3992 8966 7055
"g259" 871 1077 1025 721 490 934 569 1349 947 776
"g260" 14 91 8 37 29 1 149 37 10 19
"g261" 752 1059 1593 674 553 1301 1567 2556 2251 789
"g262" 2047 1204 910 709 778 3120 1863 4765 1828 6592
"g263" 8335 4115 2537 1865 5149 5320 7145 7777 2861 12698
"g264" 4520 3040 3928 5433 2198 3422 10184 7201 3134 2693
"g265" 69409 23241 23107 11969 12462 39879 96681 57848 45046 74793
"g266" 7838 5663 4134 4073 5621 5853 8764 7805 8641 5471
"g267" 2286 3211 2648 2171 976 5470 8182 9428 3406 7869
"g268" 24 34 59 25 37 65 132 47 87 52
"g269" 8537 6715 9422 6134 5604 7787 8486 5737 13382 6664
"g270" 1306 2081 2112 1163 1478 3464 3484 3156 6512 3613
"g271" 430 440 782 367 522 600 782 618 845 518
"g272" 53640 36818 46965 41126 35526 122287 72209 75094 246877 187815
"g273" 5201 5656 4887 3417 3293 4238 7511 5637 7233 7697
"g274" 1306 15 567 1994 431 1983 11025 5500 490 74
"g275" 39 71 188 0 763 190 3 74 0 2
"g276" 372 161 973 351 179 328 838 978 529 327
"g277" 3771 3682 4792 3230 4428 5077 11832 9766 7538 5937
"g278" 8252 13850 9535 4002 4845 16493 26676 13775 13734 14247
"g279" 1705 2957 2674 2819 2740 2019 3381 1315 2939 3220
"g280" 6572 3264 4632 3230 2720 3323 10760 7361 16405 10546
"g281" 14315 8537 17900 10910 26578 42748 37902 27740 93972 25010
"g282" 28139 33651 26425 25948 25409 32620 41714 25129 25633 49005
"g283" 1426 2213 3993 2046 2139 4385 11487 4198 7910 11865
"g284" 9932 21978 9790 9725 6586 12558 9055 10405 9351 11546
"g285" 883 1548 1609 1730 2068 2101 3395 714 3182 503
"g286" 25515 12567 22971 15625 9939 23893 36175 26898 36102 46179
"g287" 28975 20900 39867 23458 22402 75483 100211 43581 73974 20357
"g288" 355 445 160 226 567 605 815 991 684 272
"g289" 20367 20654 17126 17619 19178 34115 42978 30266 35143 38794
"g290" 12 39 21 0 2 107 73 5 77 2
"g291" 308 209 236 106 223 655 1345 1062 1273 680
"g292" 1905 3493 3627 1176 3089 2122 5208 4238 5926 6842
"g293" 10452 9078 6914 5770 9062 11718 8929 9746 13926 11312
"g294" 884 645 987 594 634 523 1696 1328 1167 740
"g295" 157 279 162 118 162 61 261 42 293 460
"g296" 193 191 380 273 226 526 619 651 638 621
"g297" 7164 3016 16160 7260 6274 13621 15187 12073 18341 18010
"g298" 976 440 635 425 286 762 780 1352 1806 2409
"g299" 912 897 1262 522 942 2111 2460 439 1228 1660
"g300" 5402 3041 4281 3795 3241 4060 6936 4639 7351 5288
"g301" 4989 15817 7638 10576 5330 24225 50636 28170 60121 18262
"g302" 84 159 48 106 138 139 621 186 424 326
"g303" 6 0 13 0 0 4 0 0 0 12
"g304" 6085 725 2453 7646 3309 10908 24664 14243 40115 2323
"g305" 75 4420 1551 2365 2496 12059 5418 4291 6438 13316
"g306" 91871 45085 90110 45961 85230 123000 108752 79132 119340 146263
"g307" 1738 1634 2294 1689 967 2102 1726 2018 4127 2337
"g308" 2623 981 2824 1497 1608 3339 4542 3920 1342 1424
"g309" 1879 4378 3471 4732 6261 7340 5086 9144 16398 15281
"g310" 58 1 16 129 2 7 160 34 68 1
"g311" 39958 52860 36173 25641 33823 61221 91332 72541 67464 57782
"g312" 774 217 974 574 341 759 1565 226 1996 830
"g313" 14770 15593 16929 13515 9682 17832 24807 20678 45783 44201
"g314" 303 272 354 181 224 232 571 307 355 286
"g315" 10827 13563 16872 9409 11718 38394 49441 31566 43649 38902
"g316" 43268 35595 35408 25038 34342 89442 97973 80909 101344 107304
"g317" 2676 4143 5233 2727 1839 16533 14926 6958 12333 12605
"g318" 29 89 339 123 191 198 321 260 547 141
"g319" 2207 1801 2432 1465 1354 4511 9746 3947 4397 5776
"g320" 130 244 111 549 295 2746 4601 2157 1474 3600
"g321" 32122 24529 24695 20878 18857 30766 108411 47942 77964 47574
"g322" 1826 1758 1744 2063 1848 4306 4005 4758 7088 4246
"g323" 112 2680 6313 560 8 462 1650 1684 8618 5039
"g324" 5222 11812 10921 1599 4174 3840 1501 619 8966 5703
"g325" 34 9 9 4 33 21 32 23 16 19
"g326" 13476 8600 15370 5289 9810 8569 15794 11725 16612 14594
"g327" 1527 1172 722 292 208 1174 1807 1475 509 1263
"g328" 17415 8761 16648 14743 13273 18122 54768 29202 33041 19413
"g329" 7547 8137 9335 4738 13942 35983 35450 7199 47642 14502
"g330" 277 752 533 361 141 507 826 766 432 130
"g331" 4742 5145 6386 2919 3828 6036 7579 5784 8228 6543
"g332" 480 947 644 504 337 959 1490 744 1083 592
"g333" 704 45 227 80 172 630 569 177 99 149
"g334" 5535 4506 4421 2497 3479 6971 4835 5848 5453 4563
"g335" 31 176 137 15 34 174 655 588 293 70
"g336" 5291 5800 5919 3001 4606 4533 15476 11659 10189 18386
"g337" 612 635 529 347 711 1737 3896 1506 907 1278
"g338" 2142 1694 2436 962 857 2141 3560 2392 2988 2519
"g339" 51 24 78 48 159 54 449 175 313 92
"g340" 5600 2104 4902 2606 5135 6585 8781 6945 13252 6877
"g341" 5164 5534 3472 1950 3154 6441 9419 5050 11897 10103
"g342" 637 940 365 527 459 860 1979 735 4125 1284
"g343" 1097 733 1332 571 693 616 1664 1613 1298 1811
"g344" 2491 2313 2253 2218 1477 4089 3083 2092 3425 2829
"g345" 35 33 40 63 236 180 303 281 216 219
"g346" 7006 3450 5235 3477 3924 9949 7159 9610 17663 10194
"g347" 314 159 167 153 236 182 412 168 314 241
"g348" 75 25 25 1 6 340 305 23 53 74
"g349" 8729 12163 4751 5927 3936 5675 6999 11372 16800 16877
"g350" 2757 2342 4187 2527 1690 4762 7829 3792 8893 3713
"g351" 1793 676 1020 420 1119 1348 2226 1356 2579 1581
"g352" 5477 4224 3549 3233 3889 7570 8268 6319 9225 9876
"g353" 40343 117484 136374 56225 95107 188591 221756 65728 163592 152293
"g354" 263 262 286 388 474 526 1457 839 2132 546
"g355" 14693 9370 12915 6001 6996 27392 44134 26948 24925 28589
"g356" 1632 2563 2216 2009 2402 2678 2312 1652 3476 3493
"g357" 331 333 881 396 249 1105 1530 416 1054 410
"g358" 44006 22022 33098 18720 23525 19441 42823 30920 35870 37620
"g359" 556 567 1190 575 291 300 592 974 1117 756
"g360" 642 408 399 137 315 421 729 838 694 1032
"g361" 3996 703 2458 619 2726 2053 6918 1922 3604 3160
"g362" 43440 23509 58963 19496 31398 43167 51037 27028 47988 37658
"g363" 1918 637 1167 762 1817 1088 973 914 2148 3900
"g364" 4244 4023 9627 3321 5982 9643 10875 8979 8274 4565
"g365" 7848 9866 30281 12187 19133 10992 33865 9210 20149 16825
"g366" 34707 32634 23254 30096 43661 55031 86425 64657 83601 88352
"g367" 4242 3389 6967 3354 4291 8762 7535 8256 5093 7625
"g368" 66 60 72 69 161 222 228 391 129 147
"g369" 10203 7748 5155 6631 4877 14408 5986 11873 18997 15925
"g370" 114 33 10 36 32 56 104 84 124 30
"g371" 3796 4748 1299 2926 5677 2865 5611 4877 1846 3106
"g372" 768 389 618 443 469 725 1706 433 1540 418
"g373" 4374 3654 5028 4047 5625 13324 9645 11561 16355 11227
"g374" 39 56 136 104 27 118 126 45 221 115
"g375" 7 104 84 72 37 156 49 84 238 27
"g376" 1715 892 2145 998 1129 462 2780 2122 1648 2399
"g377" 182 356 402 136 549 278 351 371 1275 467
"g378" 96 68 78 57 77 169 276 178 238 117
"g379" 6 34 0 3 0 7 118 0 113 0
"g380" 1388 862 9 2546 79 348 36 1493 579 3453
"g381" 2910 1889 1024 1103 804 272 6902 1377 3349 4739
"g382" 7619 9247 6900 4947 8293 9158 11475 7872 9891 7327
"g383" 704 984 17 151 1064 3206 2134 55 5198 3287
"g384" 131 204 180 100 390 745 380 224 189 440
"g385" 0 271 1 0 7 21 2 44 18 44
"g386" 10567 14562 15766 14768 18334 34996 48669 35753 67117 51184
"g387" 4230 5420 6773 4056 4793 5662 6312 7096 5436 5641
"g388" 50 17 55 2 1 2 16 7 39 0
"g389" 68 12 17 15 83 163 82 77 152 95
"g390" 131 51 95 126 362 161 156 472 271 222
"g391" 65 20 43 2 61 48 11 6 46 84
"g392" 599 855 853 611 679 712 618 840 576 834
"g393" 36721 18648 21744 15443 16757 61495 56863 45150 50703 175301
"g394" 485 1836 89 0 419 9 442 1 48 1
"g395" 67 47 28 104 94 284 90 0 180 0
"g396" 1 0 0 0 11 2 2 1 21 34
"g397" 89 133 174 79 33 278 664 49 160 262
"g398" 546 2854 942 1770 461 3778 3106 4454 11447 3498
"g399" 109 31 105 41 54 11 202 80 363 46
"g400" 3641 4492 5257 2935 3030 4260 3152 3448 6095 3689
"g401" 1391 2288 622 1245 570 819 606 4341 3632 3078
"g402" 22 4 9 120 49 82 176 77 237 213
"g403" 57 37 15 55 14 7 14 64 88 4
"g404" 5512 3451 2054 2319 2763 1766 3647 2031 6073 2773
"g405" 12618 4578 2171 9946 7506 7201 19018 6092 4763 27986
"g406" 5955 6991 10491 3735 4276 4857 12563 4709 5686 7957
"g407" 142 32 3 17 14 0 159 4 0 720
"g408" 6866 2986 3572 2885 4412 5304 6217 9843 16128 9654
"g409" 30 27 48 33 42 49 13 60 90 44
"g410" 26 64 39 6 34 13 20 34 46 26
"g411" 197 653 2369 1545 289 1192 858 2864 2390 1996
"g412" 29812 31596 31387 28936 18504 41874 46829 41884 52481 62160
"g413" 1159 520 1475 349 358 1243 1762 651 526 292
"g414" 1202 828 2792 1451 1507 3070 1178 2827 3959 1669
"g415" 288 257 181 149 313 212 557 312 750 178
"g416" 1768 1241 958 496 720 1913 2913 1836 1654 1082
"g417" 7405 1038 3155 8111 3539 5973 9610 12287 9732 5413
"g418" 16407 10406 18440 8001 6698 5733 16135 18643 12985 14615
"g419" 4299 5684 6460 2801 4864 5807 7895 5767 11284 6639
"g420" 2217 306 1694 934 199 1872 523 1143 1951 1707
"g421" 7816 6061 9431 5174 5043 10022 23485 14363 23078 12552
"g422" 2018 2481 2365 2321 1541 2842 2621 3406 4918 1956
"g423" 809 3196 2227 984 1266 3664 2011 854 2284 332
"g424" 1064 969 973 1015 992 2022 2772 2134 2994 1093
"g425" 1465 2318 1581 2867 1613 2211 5794 4757 1936 2599
"g426" 2308 288 2229 249 1982 75 952 1390 927 386
"g427" 1311 1988 950 748 1031 4187 4762 4986 6242 3136
"g428" 172 114 144 37 14 168 113 103 72 181
"g429" 33 35 40 31 37 68 98 73 83 76
"g430" 83 37 55 0 38 23 6 342 3 73
"g431" 249 444 1316 855 1158 46 886 472 417 897
"g432" 385 360 705 293 301 349 652 488 1157 752
"g433" 0 1 71 49 0 53 5 8 9 27
"g434" 15079 8860 7412 6557 5308 8205 41251 16076 24830 16159
"g435" 14 70 0 79 1 223 48 34 60 10
"g436" 1019 311 863 319 110 3713 2390 209 324 1059
"g437" 1664 6060 5449 2379 1323 5520 5841 3501 6171 8468
"g438" 12796 14189 23978 7326 9732 22867 21076 13249 19044 13748
"g439" 12275 13389 17172 13515 7510 26238 39029 20085 40078 37554
"g440" 5369 1381 2815 1777 834 3752 4927 1861 4497 2970
"g441" 44430 34630 48627 43713 45832 57542 92294 111575 122214 71311
"g442" 3349 2793 2716 1854 2068 6480 8231 7313 10924 8537
"g443" 528 354 934 406 134 373 70 475 381 677
"g444" 5090 2041 3236 1411 1678 8663 9041 6093 7243 7963
"g445" 206 151 191 0 137 0 23 324 651 254
"g446" 7707 7888 8026 6656 7620 9241 17865 11478 14973 19017
"g447" 1531 2278 3387 1525 2983 3085 4659 3229 4526 3746
"g448" 777 3501 2222 3106 2289 1297 632 4733 1335 937
"g449" 41 31 31 10 15 41 86 18 38 135
"g450" 576 90 616 274 751 423 2243 1637 404 962
"g451" 156 79 107 307 87 179 168 256 225 177
"g452" 7238 8165 11993 5541 4600 10311 10255 8230 9511 12312
"g453" 2404 2278 2108 2148 1282 3366 6407 5401 11552 5267
"g454" 42485 33492 34512 33515 34971 85916 151707 63818 104212 78039
