"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g34" 643 406 525 241 180 166 613 1927 2380 442
"g35" 54 108 62 95 41 111 54 187 240 69
"g36" 4134 3759 3537 6676 1432 65066 24809 36846 17223 3177
"g37" 95 8 12 211 7 142 76 146 236 176
"g38" 8001 9338 986 21003 2868 30587 12873 6745 32095 18657
"g39" 172 390 306 323 282 660 486 856 1114 1121
"g40" 14207 14557 14970 20672 12314 62934 48440 84356 49678 26443
"g41" 829 592 419 593 433 553 712 874 634 1029
"g42" 215 176 308 259 82 289 338 530 598 422
"g43" 30 83 68 61 70 37 59 193 79 52
"g44" 468 633 966 467 464 1082 1851 1920 1895 1134
"g45" 1247 676 1963 4771 1347 5339 3822 6317 5937 5174
"g46" 461 193 419 349 268 709 362 1141 327 721
"g47" 954 1561 850 1799 819 1703 2967 4098 4742 1266
"g48" 5195 3743 3769 4942 3414 10285 6751 2912 6767 6889
"g49" 11051 13555 7062 10118 9261 20193 9114 29051 13894 12212
"g50" 468 380 213 343 421 541 1076 461 1279 372
"g51" 124 46 71 59 53 165 141 75 139 104
"g52" 17813 17802 11261 17677 10083 31488 63684 81201 63848 59162
"g53" 22 27 44 62 29 76 68 45 53 19
"g54" 16594 20058 19321 17406 16381 48747 38496 46133 49470 36874
"g55" 6465 8938 9912 5920 14520 25843 18452 14675 42087 29201
"g56" 10555 7386 6955 7027 5114 12985 18490 18909 16764 10318
"g57" 23 24 20 27 18 54 38 59 66 42
"g58" 4921 6309 5654 3626 5562 9193 8489 13846 10170 9046
"g59" 72 787 233 1356 633 717 96 198 1714 168
"g60" 4786 2625 1920 16135 5404 11828 5530 35094 11073 6667
"g61" 12651 10309 7609 7696 6498 27591 8868 21785 25193 14076
"g62" 404 228 46 72 9 1911 210 677 4233 1062
"g63" 10075 9184 8496 9187 11914 18937 13588 24599 23029 12090
"g64" 141 891 110 130 98 132 144 225 352 535
"g65" 7516 23879 6934 14523 9023 23382 42535 32772 23526 20752
"g66" 80 29 29 72 90 355 842 393 1241 174
"g67" 1616 1482 649 617 481 2867 1911 2464 2388 1800
"g68" 77 150 48 9 7 68 77 131 110 107
"g69" 134 131 159 102 165 760 432 895 742 499
"g70" 1406 1393 4299 2077 2106 19908 28888 23566 53759 10158
"g71" 360 1136 30 256 429 302 93 290 397 1137
"g72" 249 100 121 102 241 354 307 350 258 507
"g73" 950 466 845 697 820 1672 2117 2281 2803 2019
"g74" 20486 12377 14823 19857 15728 29273 31483 31905 41410 19098
"g75" 35 14 25 64 1 27 56 103 129 39
"g76" 4523 2708 1921 3345 3215 9304 9753 21953 15482 9767
"g77" 4702 2556 5251 4445 2496 4834 8682 9266 10252 7087
"g78" 3759 7083 6914 7598 8583 20295 14151 22951 17778 4657
"g79" 4633 2941 2769 1755 2423 6551 4664 20688 8946 6922
"g80" 138 143 151 117 87 250 109 347 380 196
"g81" 263 177 305 112 333 42 49 181 173 164
"g82" 23 18 37 31 12 25 32 32 63 36
"g83" 90984 140396 101098 51541 113229 126483 362109 168834 319169 168875
"g84" 12096 16811 22949 18288 14231 76159 51606 72525 162158 38389
"g85" 13223 7090 7392 6003 4507 62728 27227 57524 40523 26232
"g86" 15 26 26 15 9 55 32 62 77 22
"g87" 1098 608 3728 516 369 59 619 1762 408 313
"g88" 314 237 106 26 274 583 987 56 1117 464
"g89" 109 63 91 193 92 430 365 709 249 100
"g90" 1014 180 974 1465 1322 3167 1260 4931 3221 1218
"g91" 526 63 45 156 528 273 18 1502 1241 1766
"g92" 6294 4258 5558 6412 6428 17053 15895 27781 18094 7848
"g93" 287 942 493 457 117 683 848 1780 1784 998
"g94" 1313 88 876 286 507 1517 1544 1499 1980 1084
"g95" 4555 1126 2027 6593 1094 6334 5506 6303 11206 3882
"g96" 2235 51 236 259 157 1401 394 1329 1004 346
"g97" 52220 37192 35880 26943 31410 93040 45005 142866 149878 101305
"g98" 317 295 398 413 211 393 275 424 689 284
"g99" 198 484 118 331 132 162 251 474 462 313
"g100" 9196 8233 3094 5868 6115 17949 14255 14417 13815 9732
"g101" 36960 12472 28551 11501 20396 22378 58315 154288 54020 34458
"g102" 515 373 363 232 366 611 1090 1619 724 410
"g103" 4157 2401 2982 2750 2531 5336 4496 7270 6923 3574
"g104" 543 1188 681 502 575 778 1261 1473 2447 351
"g105" 4396 2651 5871 3959 3391 4585 7340 15383 14063 4872
"g106" 2026 5056 2017 1810 705 1994 8013 9913 11432 3489
"g107" 231 96 115 414 331 479 2 1792 42 576
"g108" 60 66 54 50 55 82 99 95 39 57
"g109" 334 278 388 379 354 1145 1019 1070 488 418
"g110" 1 12 1 15 53 117 120 7 26 8
"g111" 35 39 78 79 40 115 94 135 119 64
"g112" 1630 1876 4006 3345 1684 8099 9826 7855 4547 2741
"g113" 7703 7175 4874 6143 8149 5919 4524 8233 6549 5892
"g114" 1241 490 381 534 596 590 584 1746 2245 595
"g115" 227 40 321 164 148 128 151 341 345 40
"g116" 828 184 876 1351 130 1104 1882 5795 1665 649
"g117" 74831 95688 118918 55084 43135 117666 140705 167961 187263 121229
"g118" 3515 1368 862 2038 2147 1731 967 5018 3382 1153
"g119" 201 240 809 360 539 966 629 686 1680 123
"g120" 71 28 56 184 21 84 87 59 79 103
"g121" 15510 239 4241 3495 2057 2769 6338 48856 20592 4679
"g122" 2242 4916 19688 10306 2943 34429 37913 11197 15250 9369
"g123" 986 1201 709 145 886 1095 260 914 803 912
"g124" 34 133 84 55 5 27 108 47 67 51
"g125" 28078 32546 22213 21190 14426 76865 67135 138942 111471 74386
"g126" 16 30 5 62 5 1 59 86 0 14
"g127" 32482 32845 28674 32602 26158 43965 31695 60864 53246 35367
"g128" 124 58 241 182 31 107 66 59 357 46
"g129" 6898 10539 10971 8736 9242 15039 11693 26874 36459 15667
"g130" 15 28 124 50 33 67 107 152 180 77
"g131" 158 34 96 28 120 148 158 38 77 100
"g132" 1369 817 1344 2812 460 2472 836 2326 2429 2494
"g133" 5598 5423 2374 1893 3197 2853 3626 7834 9648 5743
"g134" 89 147 37 479 6 70 223 176 217 788
"g135" 41 1398 97 526 227 1211 87 0 755 118
"g136" 278 384 145 403 175 1690 416 2522 888 969
"g137" 26079 71054 57442 32394 37869 38102 43800 85139 153559 45008
"g138" 14 79 92 265 45 45 120 156 178 99
"g139" 524 1346 281 1217 624 856 209 4701 3684 2879
"g140" 461 195 289 153 188 266 218 594 597 622
"g141" 42908 42119 43179 43468 30451 82945 65064 103611 154472 44086
"g142" 3746 1627 132 1471 169 1830 1362 589 760 1331
"g143" 505 199 1134 1171 656 1311 1322 2106 2801 2029
"g144" 0 0 26 4 46 109 110 6 55 12
"g145" 706 371 373 542 523 950 1175 961 1111 817
"g146" 4556 4096 3700 4550 3672 14442 9666 16339 15670 9583
"g147" 948 728 650 1012 775 1597 1710 1604 1322 890
"g148" 1663 659 1495 1848 387 4817 4610 4520 10495 1416
"g149" 256 220 501 156 206 567 414 464 275 181
"g150" 3035 1882 1093 1187 1708 3151 3075 3185 4591 3065
"g151" 3808 3107 3212 2764 3253 7669 6961 10991 9239 4775
"g152" 12348 15608 14768 14211 9848 15317 12301 14156 21389 13065
"g153" 51 46 45 154 45 151 25 360 172 58
"g154" 107 106 101 27 7 90 104 72 242 174
"g155" 2207 1598 1827 2834 1744 3348 3093 3732 3229 1634
"g156" 28 46 14 16 14 25 18 121 72 34
"g157" 15979 24131 19419 13066 15556 36626 46724 37792 45909 47838
"g158" 4573 7892 9883 2589 3380 11522 12946 19279 13702 12151
"g159" 2780 1844 200 353 2933 2682 4472 1530 1077 364
"g160" 19197 5264 14890 4124 9841 36306 12264 32447 34710 22155
"g161" 848 811 1961 1811 4449 4328 2762 8173 3095 1011
"g162" 500 179 193 116 567 514 529 781 1175 986
"g163" 147 124 237 370 176 263 374 275 830 418
"g164" 1625 4189 3812 3679 4044 8012 3709 6343 9247 6500
"g165" 4659 4188 4562 2952 1912 7270 11754 9003 17063 6875
"g166" 3741 3417 2459 2706 1676 8629 11956 13003 7599 6501
"g167" 590 685 853 342 856 54 2261 2865 756 7238
"g168" 12894 12517 11171 9637 9500 15488 20654 23512 22777 16142
"g169" 57947 56679 46100 29213 27156 171235 309786 511402 257166 180728
"g170" 4273 4313 4319 4723 2498 18100 23164 21884 18246 12019
"g171" 416 450 105 157 209 428 1035 200 365 599
"g172" 323 174 360 407 383 772 809 1674 1133 589
"g173" 63 1 1 47 0 5 66 83 66 22
"g174" 204 229 206 253 132 276 277 414 510 393
"g175" 10845 8338 10924 16232 6891 25072 28089 37548 14838 27700
"g176" 2999 474 281 2409 171 448 591 1057 2673 1301
"g177" 377 349 263 274 222 988 843 1009 1176 638
"g178" 15 82 23 31 21 30 30 209 249 143
"g179" 16 56 40 19 8 1 82 116 200 35
"g180" 6079 5016 4811 4137 4596 8316 9107 22727 6127 5489
"g181" 145 29 28 83 25 237 99 212 311 90
"g182" 30774 18447 17781 9795 15562 18860 23529 22288 17252 30131
"g183" 1265 881 319 1080 53 864 2516 1541 901 1674
"g184" 32 27 31 18 20 25 35 58 63 30
"g185" 365 350 261 274 139 480 253 524 624 122
"g186" 31966 17492 13270 14419 16916 27647 33835 29757 53691 21172
"g187" 67 43 63 66 64 206 154 128 186 52
"g188" 47 24 49 24 46 168 177 156 212 82
"g189" 3776 3341 2596 4931 3027 2858 4091 13906 8982 7015
"g190" 11787 10878 7833 9195 11228 28456 18947 14647 35114 12104
"g191" 10 43 96 402 163 681 658 257 776 64
"g192" 2507 3017 743 2184 1371 2890 1961 4893 7396 4787
"g193" 500 196 1516 648 400 1438 1868 2923 223 595
"g194" 1510 2008 2202 4273 3097 2281 4818 17980 7137 5921
"g195" 473 190 226 391 209 1331 962 952 687 1554
"g196" 35431 38960 22172 28649 21472 52211 47736 77561 77257 34561
"g197" 899 507 547 518 507 1564 2293 3933 3271 1736
"g198" 25 64 35 17 22 156 125 217 52 33
"g199" 1622 1135 684 749 442 2056 1351 3771 3300 2137
"g200" 6851 22640 6234 21644 12919 20973 26066 24904 21403 21965
"g201" 23 157 347 106 261 116 39 783 1116 800
"g202" 2622 1707 1613 1771 1620 2224 1717 4467 1671 1279
"g203" 4074 4569 5188 5176 5282 5953 7065 10066 9493 4242
"g204" 698 312 872 772 1133 659 950 1513 963 760
"g205" 105 94 476 648 131 1133 1058 1894 1227 336
"g206" 5442 3709 2417 4266 3099 7356 5928 11348 13560 4508
"g207" 2377 1984 2787 1454 1292 5276 5268 8730 6730 6104
"g208" 2875 7876 4757 4755 3807 14797 8512 26705 32275 15537
"g209" 651 565 896 1469 1251 956 1576 2610 3980 1265
"g210" 4365 3754 3803 2360 1738 8081 12171 6132 8909 5540
"g211" 425 285 276 274 169 604 475 720 761 587
"g212" 12289 12767 11279 13089 12765 40785 37669 36518 56852 25482
"g213" 104 152 323 54 413 322 169 399 145 266
"g214" 28547 66904 27314 14029 37352 43016 58007 49617 72919 36494
"g215" 148 145 122 133 143 279 141 265 388 161
"g216" 1642 1921 2311 870 2156 1672 1839 2482 5510 6554
"g217" 0 0 7 0 4 1463 0 76 14 237
"g218" 9809 13517 11186 11197 12817 12152 26504 27983 16209 12873
"g219" 9636 2322 8486 6997 6243 26021 10665 16719 35569 7540
"g220" 4275 3470 2370 3371 1688 4428 5259 7779 8888 7879
"g221" 791 145 185 323 290 617 365 229 554 710
"g222" 2728 1588 2024 3678 2533 6953 4330 8806 9062 5803
"g223" 6488 11438 4673 10562 5954 16368 40323 5223 15034 5930
"g224" 6445 17587 15157 4842 2518 11878 17490 40755 12256 24160
"g225" 7401 5350 12413 6560 5977 25432 7272 18554 45620 19126
"g226" 7577 11474 8712 5806 3720 24962 24178 33976 24096 23299
"g227" 80 423 153 42 9 981 71 50 1230 355
"g228" 0 237 23 68 18 201 59 206 342 29
"g229" 11416 4420 3802 2916 1204 7844 6694 2251 8417 9451
"g230" 1953 2369 2575 1141 1224 2788 1376 5030 5308 3347
"g231" 25582 10321 19465 19488 11546 37869 59164 49659 67916 30302
"g232" 365 296 568 542 250 2408 1647 3359 2543 1006
"g233" 609 1097 1284 409 711 1225 1011 3066 2290 1183
"g234" 261 194 175 172 204 1217 576 1011 972 366
"g235" 3492 2663 3298 5465 2483 11190 5461 4222 7877 4406
"g236" 5785 4575 4890 6057 4514 8075 5318 8744 9955 4244
"g237" 17154 14396 11315 11980 8853 50057 30182 44752 42524 28192
"g238" 0 2 0 85 0 1 161 0 127688 0
"g239" 17560 12634 15129 19103 9255 23947 11796 26185 36802 24418
"g240" 57 32 0 21 12 215 33 532 218 40
"g241" 23056 13242 19566 13448 15031 24673 21673 32818 37881 16700
"g242" 24 15704 0 1062 11342 57 199 22881 3331 42535
"g243" 24770 22941 20193 22074 16830 65550 46213 101770 88528 52086
"g244" 1483 1298 1426 1213 1384 1489 1921 2087 3737 1162
"g245" 104 93 74 123 88 256 242 386 385 194
"g246" 5493 4806 455 2468 2625 12864 9412 11211 21944 4807
"g247" 9491 7413 10133 15455 6717 26316 12168 13949 18150 10307
"g248" 11715 5400 7922 18669 3934 13366 10706 22495 14206 6464
"g249" 8730 21990 11808 15511 12507 26745 8556 24557 43827 16878
"g250" 257 255 236 430 144 491 428 745 792 659
"g251" 462 869 1255 132 385 7005 4276 3722 7030 1568
"g252" 73 83 84 174 28 333 694 410 159 255
"g253" 181 255 151 98 99 201 157 425 206 215
"g254" 24 8 12 30 35 83 15 50 383 2
"g255" 5738 2015 4058 4586 2154 9184 6506 22128 15776 1586
"g256" 3532 3641 4815 7874 4243 11674 12019 8196 24290 12976
"g257" 10732 7974 8646 11115 7438 13330 11004 28118 19776 11705
"g258" 2587 1381 1653 827 751 12926 6787 3748 11253 4852
"g259" 171 152 72 198 125 156 112 87 182 29
"g260" 13489 12891 13497 17257 9497 12702 31478 23775 46847 41077
"g261" 54 35 94 4 42 68 82 115 42 59
"g262" 14266 27159 39461 11971 11271 20378 21112 48902 113697 103098
"g263" 19473 19418 17334 29617 9824 58693 43718 47971 80181 26779
"g264" 17385 23162 32368 48637 44883 9803 36686 51632 48025 25381
"g265" 88898 53015 108935 52331 55548 47629 63538 160440 76058 44292
"g266" 728 672 341 523 309 639 1310 2862 2611 1311
"g267" 40524 28271 60440 30012 28368 40190 44589 64238 109042 22022
"g268" 81 72 69 86 57 35 139 437 104 385
"g269" 1172 2961 988 2360 1451 4143 1051 7 4957 709
"g270" 917 733 846 943 1091 1651 2079 1774 2844 1558
"g271" 783 1157 1642 1209 661 4201 3391 3962 1210 1590
"g272" 20 45 72 44 6 27 18 93 24 48
"g273" 5243 5194 3459 4260 2447 7279 7038 6431 11219 6794
"g274" 125 584 24 100 51 116 102 872 1558 260
"g275" 276 217 241 251 197 690 658 940 1045 545
"g276" 117 187 102 158 44 335 154 380 262 157
"g277" 94588 62901 63786 58510 44109 112014 66309 145317 138323 63869
"g278" 93816 87499 100911 90090 71476 112476 152935 220763 218519 100010
"g279" 40 65 28 77 39 322 111 123 44 188
"g280" 7054 4316 7139 8919 3553 14689 9311 19694 16769 7281
"g281" 90 239 135 70 171 336 817 541 1147 607
"g282" 18434 7021 9409 11336 9376 25374 28488 19769 35759 22939
"g283" 38821 32485 64349 23289 19562 107919 40313 74693 101800 48809
"g284" 2630 853 2416 686 678 2083 3109 4771 10906 1711
"g285" 13 66 43 8 232 10 23 186 286 10
"g286" 68 374 13 199 134 319 280 2500 156 356
"g287" 11219 10164 12551 16936 11426 19437 16370 11573 36160 8008
"g288" 2188 1841 2863 1483 1738 4688 5771 9439 3174 2126
"g289" 4121 3168 3312 7323 6207 31366 10309 26026 25288 9158
"g290" 4706 7610 6817 5272 3186 6570 15586 12452 22114 11451
"g291" 3711 5371 3954 5684 4044 12045 8307 7678 6838 4588
"g292" 479 683 574 667 474 1236 503 2372 1882 920
"g293" 12218 5868 2064 9654 3513 2462 3769 57709 16916 8806
"g294" 110 46 141 111 86 95 91 104 212 73
"g295" 17 181 48 11 20 24 0 14 16 36
"g296" 45 12 19 29 39 95 122 94 187 87
"g297" 2673 1983 2024 1167 3164 13181 4367 2649 16499 7829
"g298" 718 692 606 1483 358 553 580 1226 2082 686
"g299" 2088 1197 1433 1266 716 2773 1245 2929 2813 2142
"g300" 33 4286 45516 29 2397 31272 14511 189 25367 11037
"g301" 18 80 48 99 130 33 132 94 117 243
"g302" 7541 7437 7495 7310 6325 14607 12353 19154 23201 9146
"g303" 3111 126 50 212 153 4192 59 63 3407 1440
"g304" 27 23 11 74 28 82 10 70 32 46
"g305" 6001 11482 7837 8872 3672 28546 18563 60047 53754 18581
"g306" 821 696 518 391 312 623 572 506 1158 333
"g307" 13642 34894 30186 9519 35149 52395 27248 41560 37574 44479
"g308" 34836 37637 32725 39247 35093 116570 55060 87125 115666 49869
"g309" 30994 38907 30491 16105 21064 65967 43571 53428 77071 31227
"g310" 19063 25594 17221 12806 10828 27117 31927 76309 71207 52266
"g311" 0 5 29 3 0 48 4 35 215 34
"g312" 7022 7375 7993 6791 5814 24537 16029 23622 40990 16641
"g313" 1783 1059 1394 1975 1481 2118 2247 2312 4846 2819
"g314" 135 50 55 89 45 195 129 165 55 110
"g315" 158 87 163 127 63 289 76 390 378 81
"g316" 7 24 33 14 25 45 17 22 68 9
"g317" 546 324 278 215 407 1311 677 1937 1159 483
"g318" 53723 37726 39549 29385 38408 80924 61284 98321 114850 59084
"g319" 5492 6557 5869 4519 2898 7663 23886 13972 34043 11195
"g320" 16602 19685 10517 18281 14141 24732 21401 20887 34633 12548
"g321" 5 48 17 6 85 247 3 46 241 132
"g322" 131 138 192 272 54 118 60 680 356 352
"g323" 640 235 608 375 662 816 492 993 1557 589
"g324" 27282 19706 22596 16262 18407 50766 53887 105334 79101 45541
"g325" 2098 588 704 689 440 6664 1576 8528 9327 728
"g326" 39 418 55 415 239 916 144 979 269 354
"g327" 105849 88403 89591 121098 86741 135270 123852 154014 149747 75245
"g328" 7 0 9 7 0 15 43 183 7 99
"g329" 15921 12773 8226 8863 6684 24159 23136 25387 32850 12052
"g330" 178108 117979 115732 123619 88963 289302 349193 481039 416377 206143
"g331" 665 1571 1041 1450 1121 3534 3869 8218 4362 4719
"g332" 19330 23513 7398 13116 14680 24657 52186 40790 31705 12300
"g333" 2251 2818 1923 2907 2653 3078 2916 5875 5305 2880
"g334" 4108 2397 2762 1792 1935 4492 3977 5775 4446 1558
"g335" 20 12 14 18 16 29 24 44 52 19
"g336" 13880 19796 16407 19580 21575 107578 47137 164507 74579 91150
"g337" 3656 4101 3059 3782 2615 4878 6020 6106 8626 5383
"g338" 76 443 217 190 75 228 51 901 974 239
"g339" 237 322 75 182 135 150 323 168 724 517
"g340" 125 234 125 171 156 165 173 370 276 213
"g341" 566 376 395 1570 233 1387 289 1215 1174 807
"g342" 3466 8427 8815 6560 6305 29620 30771 36211 18534 5842
"g343" 195 128 114 217 181 364 357 308 741 329
"g344" 7006 13380 13800 11360 6021 24428 27245 20588 23174 13232
"g345" 1179 1102 1524 1935 2158 3057 7560 4063 6781 1834
"g346" 404 6339 18583 2710 1222 4020 7 2990 12072 147
"g347" 0 15 0 9 1 2 0 2 448 15
"g348" 540 592 1376 3764 548 5397 1185 6707 11223 6104
"g349" 1045 1223 157 944 189 2982 3137 1955 2177 2547
"g350" 428 139 55 291 12 816 631 665 188 180
"g351" 845 2640 5489 95 6363 6050 8554 25433 7881 2721
"g352" 31674 16277 28997 29271 24502 50405 42657 38297 58307 39494
"g353" 2449 2161 1549 1909 1113 7019 2973 6254 1175 3020
"g354" 102465 125467 141601 169857 165774 164630 169277 462252 548943 330047
"g355" 16465 12569 10709 11620 10216 28388 42695 46226 62945 20704
"g356" 33 61 20 15 3 2 20 123 12 3
"g357" 438 236 168 421 79 492 433 273 732 479
"g358" 7925 3011 3795 4630 2185 15535 9457 18923 16628 10293
"g359" 29 297 42 293 436 33 535 349 563 735
"g360" 21 145 37 11 86 32 202 174 193 44
"g361" 5058 4459 7408 7224 6756 14122 14161 18647 31748 8401
"g362" 6031 6385 5596 5117 4334 16390 17329 24108 26537 14996
"g363" 2937 2623 1993 2976 1442 4941 3427 4690 5388 3028
"g364" 27 223 124 180 57 40 179 1486 652 1
"g365" 76 160 133 169 119 1011 953 810 842 370
"g366" 2573 2730 2829 2523 2156 3709 2695 5256 3127 2970
"g367" 80 21 23 40 41 491 147 101 30 115
"g368" 827 819 667 926 525 1495 1409 1548 1638 477
"g369" 386 466 146 126 105 749 666 1515 952 192
"g370" 858 371 291 287 350 148 961 451 956 777
"g371" 2887 1613 1547 1075 1142 1848 3286 3394 3156 2069
"g372" 243 306 223 226 180 363 306 572 439 281
"g373" 4739 7952 6239 5437 4584 13441 9394 17624 13392 4022
"g374" 5909 9273 8875 7065 2488 34345 8206 13331 15238 12973
"g375" 25 59 40 70 18 89 61 113 127 30
"g376" 10469 27516 7266 16875 7383 123279 85616 26637 42981 37748
"g377" 59 220 286 31 53 9205 1659 3336 1004 1745
"g378" 44 31 40 12 23 93 6 10 40 15
"g379" 41 38 65 67 64 66 41 44 84 24
"g380" 17782 1627 3823 675 3745 7820 2578 20235 7419 2522
"g381" 698 86 202 78 229 1260 408 1003 395 461
"g382" 570 426 63 250 562 992 1286 1725 394 607
"g383" 166 555 548 337 278 620 1353 784 602 465
"g384" 2849 2828 1867 2027 1658 4185 4966 5269 6538 4182
"g385" 4835 5446 4051 4509 4281 10453 11298 18168 20483 9244
"g386" 8 42 17 5 19 60 42 16 190 28
"g387" 27 16 24 38 18 16 29 29 2 2
"g388" 2546 3139 2270 2926 2028 3361 3848 4730 3748 3098
"g389" 252 275 277 394 107 611 537 356 937 507
"g390" 229 122 94 217 119 1505 700 1127 2075 1005
"g391" 7861 7642 4636 3730 6846 7733 8285 10903 12955 8510
"g392" 11931 11821 10191 13473 6997 22139 19396 29145 27840 15236
"g393" 378 396 155 308 119 215 768 493 2199 485
"g394" 2716 3170 2055 3615 2207 3325 3407 2940 2659 1295
"g395" 26073 23142 27048 22244 23075 32286 24260 50331 61178 21336
"g396" 4089 6250 5103 2120 3784 7729 11115 16875 9793 7543
"g397" 242 1007 1310 403 686 851 556 2157 1094 1336
"g398" 46 30 41 55 111 308 191 531 168 229
"g399" 71 81 38 7 55 248 28 139 403 205
"g400" 35 1 8 2 2 0 26 84 143 18
"g401" 66 323 429 271 137 226 838 1168 130 386
"g402" 36112 31550 32003 29943 25276 77324 58834 94187 129057 63357
"g403" 23103 8915 18695 15611 11099 23852 24672 19550 43186 30094
"g404" 545 444 33 729 187 395 249 104 56 15
"g405" 1174 2940 1379 1387 1213 1939 1237 5094 2635 2149
"g406" 22 1 50 66 26 216 24 21 72 61
"g407" 27 41 61 133 80 87 186 210 1166 78
"g408" 12802 9464 4060 12506 13148 16650 10517 16662 14864 7209
"g409" 30 53 63 13 8 80 79 159 168 128
"g410" 42357 32825 41426 57851 42160 78025 75553 57580 113489 42711
"g411" 3784 2785 2460 3315 159 7255 501 158 5751 4969
"g412" 5445 6640 7049 5449 7045 8012 8176 11694 17648 2997
"g413" 7756 7144 3856 3563 2206 10797 11587 16365 9732 6250
"g414" 4939 5679 2801 5082 2783 4579 4151 11426 3872 3414
"g415" 6588 4778 4812 4561 3470 6477 8460 8311 10734 5386
"g416" 7731 7593 8229 5270 4437 10266 13453 13893 13331 8308
"g417" 59 24 15 50 22 12 40 38 111 105
"g418" 93 165 125 117 80 275 217 469 440 259
"g419" 10060 6646 8358 9907 9285 18343 15884 13570 18244 16939
"g420" 499 77 181 300 550 1672 225 805 979 436
"g421" 886 746 498 877 490 2324 2507 1814 3749 1851
"g422" 110 616 157 318 238 1638 2582 350 1315 502
"g423" 99 227 113 668 206 276 176 1136 418 905
"g424" 4268 2043 4082 1439 6675 37179 20373 27266 26196 11134
"g425" 1217 573 446 1062 459 3476 1015 2995 2035 1998
"g426" 641 2094 1303 1695 1236 2999 2196 4358 4093 1150
"g427" 31895 20095 34726 31338 18439 126372 58431 131744 122107 53398
"g428" 46 31 91 70 10 39 111 93 244 47
"g429" 529 501 856 1433 194 2163 1006 978 18 86
"g430" 137484 64248 64123 33085 47855 107426 111784 95126 109229 97783
"g431" 5 32 148 3 29 16 3 53 0 4
"g432" 43 353 50 310 68 236 160 582 252 456
"g433" 2757 627 1343 1315 891 819 998 2474 1771 1425
"g434" 1306 1253 997 1256 257 1880 903 3857 2531 988
"g435" 160 159 2 231 24 74 798 122 3026 7
"g436" 2230 3850 1853 2850 2694 2658 3759 5381 7740 1723
"g437" 5384 2697 1020 1115 2708 13197 3008 10875 2299 3120
"g438" 4404 3649 362 1135 1467 10140 6981 14650 8777 4003
"g439" 11236 11101 12517 10884 10962 19574 34688 29961 39844 15486
"g440" 257 149 452 364 147 172 191 1179 530 518
"g441" 0 530 42 87 483 391 124 1064 1615 58
"g442" 407 1410 5599 3956 392 165 3903 1131 6166 660
"g443" 2350 1940 3672 2410 2719 1689 2202 5185 1559 3564
"g444" 67 122 278 222 102 236 321 249 433 61
"g445" 2895 1724 1093 1138 507 7053 5758 10042 7900 7045
"g446" 3001 2587 2983 2816 3691 8311 6339 5589 5850 3342
"g447" 10813 20933 1473 41813 16941 16461 40327 16198 225430 11867
"g448" 126 47 6 2 23 11 72 4 406 51
"g449" 6299 9455 21677 3649 9831 33502 27086 40390 51085 35493
"g450" 834 52 78 171 99 228 653 598 272 322
"g451" 42 22 18 37 15 57 65 179 200 76
"g452" 19270 21893 11931 11062 6753 66766 63689 33864 64076 26889
"g453" 42308 5384 16266 19630 4443 17438 11181 50266 102028 4322
"g454" 79 50 25 76 102 51 61 109 134 59
"g455" 83 528 214 170 118 20 196 1173 1090 136
